번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
198,가마로강정 수내롯데점,음식점,분당구,수내1동,모두,031-711-7293,"성남시 분당구 백현로101번길 13, 101호 (월드프라자)",2021-01-16
199,가마로강정 수내점,음식점,분당구,수내2동,모두,031-712-7292,"성남시 분당구 내정로166번길 43, 금산프라자 110호(수내동)",2021-01-16
200,가마로강정 여수동점,음식점,중원구,도촌동,모두,031-757-0201,"성남시 중원구 여수울로 51, 상가동 103호",2021-01-16
201,가마솥,음식점,분당구,서현1동,지류,031-701-0142,"성남시 분당구 분당로53번길 21, 109,110,113,115,116호(서현동,산호프라자)",2021-01-16
202,가마솥 장수 설렁탕(수진점),음식점,수정구,수진2동,모두,031-604-0245,"성남시 수정구 성남대로 1200, 1층(수진동)",2021-01-16
203,가마솥순대국,음식점,분당구,야탑3동,모두,031-702-6663,성남시 분당구 벌말로 47,2021-01-16
204,가마솥순대국감자탕,음식점,중원구,상대원2동,지류,031-748-2364,성남시 중원구 금상로 45 1층,2021-01-16
205,가마솥옛날통닭,음식점,분당구,정자동,모두,031-711-7742,"경기도 성남시 분당구 정자로 78, 지하1층 103호, 104호(정자동, 영동프라자)",2021-01-16
206,가마솥옛날통닭,음식점,분당구,정자동,모두,031-711-7742,"경기도 성남시 분당구 정자로 78, 지하1층 103호, 104호(정자동, 영동프라자)",2021-01-16
207,가마치 옛날통닭,음식점,중원구,상대원3동,지류,031-733-7322,경기도 성남시 중원구 박석로91번길 1 1층 가마치 옛날통닭,2021-01-16
208,가마치옛날통닭,음식점,중원구,금광2동,모두,031-747-4747,성남시 중원구 광명로 337 1층,2021-01-16
209,가마치통닭(대원점),음식점,중원구,상대원1동,모두,031-605-1471,"성남시 중원구 둔촌대로 397, 1층 일부(상대원동)",2021-01-16
210,가마치통닭(위례점),음식점,수정구,위례동,모두,031-753-9282,"성남시 수정구 위례광장로 320, 1층 137호(창곡동, 아이에스센트럴타워)",2021-01-16
211,가마터식당,음식점,중원구,성남동,모두,031-000-0000,"성남시 중원구 광명로 104(성남동,1층)",2021-01-16
212,가배121,카페,분당구,서현1동,모두,031-778-8668,"성남시 분당구 황새울로312번길 20,  1층 108호",2021-01-16
213,가배예가,카페,분당구,야탑3동,지류,070-4246-7029,성남시 분당구 야탑로139번길 6-8(야탑동),2021-01-16
214,가배진,카페,분당구,수내1동,지류,031-000-0000,"성남시 분당구 황새울로258번길 32, 118호(수내동, 코리아나빌딩)",2021-01-16
215,가배향,카페,수정구,위례동,모두,031-000-0000,"성남시 수정구 위례광장로 5, 지하1층 B111호(창곡동, 위례우남역아이파크)",2021-01-16
216,가봉갈비,음식점,중원구,하대원동,모두,031-721-2182,성남시 중원구 둔촌대로268번길 5-1,2021-01-16
217,가비명작,음식점,분당구,구미동,모두,031-726-1117,"성남시 분당구 구미로 191, 101호 가비명작(구미동, 아산웰빙프라자)",2021-01-16
218,가비스 커피,카페,분당구,금곡동,모두,031-728-3535,"성남시 분당구 정자일로 1, 2층 207호(금곡동)",2021-01-16
219,가비양,카페,분당구,서현1동,모두,031-708-4288,성남시 분당구 안골로 33(서현동),2021-01-16
220,가사리방수,기타(도소매),수정구,태평3동,모두,031-751-3426,경기도 성남시 수정구 수정로 109 103호,2021-01-16
221,가심정,음식점,중원구,금광1동,모두,1644-1587,"성남시 중원구 광명로 378, 1층 일부(금광동, 덕영빌딩)",2021-01-16
222,가야당표구사,기타(도소매),분당구,수내2동,모두,031-717-3345,"성남시 분당구 내정로174번길 42, 돌고래상가 지층 33, 34호",2021-01-16
223,가야미촌,음식점,수정구,복정동,모두,031-754-0069,성남시 수정구 복정로 115,2021-01-16
224,가야식품,기타(도소매),수정구,복정동,모두,031-721-1741,경기도 성남시 수정구 복정로32번길 4 101호,2021-01-16
225,가영과일야채,기타(도소매),수정구,수진1동,모두,031-000-0000,"성남시 수정구 수정남로 54-1, 1층 일부",2021-01-16
226,가온,카페,분당구,서현1동,모두,031-000-0000,경기도 성남시 분당구 새마을로1번길 15-1 1층 가온카페,2021-01-16
227,가온맘,산후도우미,수정구,신흥3동,모두,031-732-3535,"경기도 성남시 수정구 산성대로 267, 324호",2021-01-16
228,가온맘성남점,기타(도소매),수정구,신흥3동,모두,031-732-3535,"성남시 수정구 산성대로 267, 3층 324호(신흥동,신흥역시내마타워)",2021-01-16
229,가온자리 한의원,한의원,분당구,금곡동,모두,031-603-7124,"성남시 분당구 돌마로 47, 4층 403호(금곡동, 이코노샤르망)",2021-01-16
230,가우디 미술학원,학원,분당구,서현1동,모바일,031-701-4120,"성남시 분당구 황새울로360번길 35, 4층 412호(서현동, 서현현대프라자)",2021-01-16
231,가우디쥬니어미술학원,학원,분당구,서현2동,모두,031-703-4120,"성남시 분당구 돌마로476번길 41, 501호(서현동, 분당빌딩)",2021-01-16
232,가우디헤어,미용,중원구,성남동,모두,031-721-4611,경기도 성남시 중원구 광명로 132 만오빌딩,2021-01-16
233,가원,음식점,분당구,정자동,모두,031-712-6166,경기도 성남시 분당구 성남대로 393 두산위브파빌리온b동110ㅡ1호,2021-01-16
234,가위소리,미용,중원구,성남동,지류,031-757-0969,성남시 중원구 둔촌대로101번길 28-17(성남동),2021-01-16
235,가위테크닉,미용,수정구,태평2동,모두,031-756-8826,성남시 수정구 남문로 105,2021-01-16
236,가은 해법 영수학원,학원,중원구,금광1동,지류,031-731-3778,"경기도 성남시 중원구 금상로 95, 2층(금광동)",2021-01-16
237,가이바이빗헤어제이,미용,분당구,야탑1동,지류,031-781-7773,경기도 성남시 분당구 성남대로 934 궁전푸라자2(206호)가이바이빗헤어제이,2021-01-16
238,가이아,기타(도소매),분당구,수내1동,모두,031-714-5160,"성남시 분당구 내정로165번길 38, 154호(수내동,청구문화시장)",2021-01-16
239,가이아헤어숍,미용,중원구,상대원3동,모두,070-8614-8698,"성남시 중원구 금상로18번길 5, 1층",2021-01-16
240,가이커트라인,미용,중원구,금광2동,지류,031-734-9070,경기도 성남시 중원구 광명로323번길 12 1층 가이커트라인,2021-01-16
241,가인헤어,미용,중원구,성남동,지류,031-759-9008,경기도 성남시 중원구 제일로 33 (성남동),2021-01-16
242,가자 경원식당,음식점,중원구,도촌동,모두,031-752-7992,"성남시 중원구 도촌로7번길 4-1, 105-8호(도촌동, 한주프라자0",2021-01-16
243,가자 명태촌,음식점,수정구,태평2동,지류,031-759-8553,경기도 성남시 수정구 수정로171번길 7 (태평동),2021-01-16
244,가자주류백화점,기타(도소매),중원구,금광1동,모두,031-733-6322,성남시 중원구 산성대로 264(중앙동),2021-01-16
245,가자크린팜대학약국,약국,분당구,금곡동,지류,031-712-4168,경기도 성남시 분당구 금곡로 233 상가1층 가자크린팜대학약국,2021-01-16
246,가자크린팜대학약국,약국,분당구,금곡동,지류,031-712-4168,"성남시 성남시 분당구 금곡로 233, 상가동 101,102호(금곡동, 청솔마을(동아))",2021-01-16
247,가장맛있는족발,음식점,분당구,금곡동,모두,031-714-9592,"성남시 분당구 성남대로172번길 12, 1층 35,36호 가장 맛있는 족발(금곡동)",2021-01-16
248,가장맛있는족발,음식점,중원구,금광2동,모두,031-731-5900,성남시 중원구 산성대로 466,2021-01-16
249,가장맛있는족발 단대오거리점,음식점,중원구,금광1동,지류,031-735-5849,경기도 성남시 중원구 광명로 299 1층 가장맛있는족발,2021-01-16
250,가장맛있는족발 삼평점,음식점,분당구,삼평동,지류,031-628-1008,"성남시 분당구 대왕판교로 660, 유스페이스1 B동 143호",2021-01-16
251,가장맛있는족발(상대원점),음식점,중원구,상대원3동,모두,031-747-7276,"경기도 성남시 중원구 금상로 46, 1층(상대원동)",2021-01-16
252,가장맛있는족발야탑2호점,음식점,분당구,야탑1동,모두,031-701-0018,"경기도 성남시 분당구 야탑로105번길 17, 1층(야탑동, 인제빌딩)",2021-01-16
253,가장맛있는족발위례우남역점,음식점,수정구,위례동,모두,031-755-5849,"경기도 성남시 수정구 위례서일로3길 4-6, 103호(창곡동)",2021-01-16
254,가정식백반밥집,음식점,중원구,은행2동,지류,031-000-0000,"성남시 중원구 산성대로 540(은행동, 3층)",2021-01-16
255,가정철물집수리,기타(도소매),분당구,구미동,지류,031-718-8904,경기도 성남시 분당구 미금일로 77 (구미동),2021-01-16
256,가족사랑한의원,한의원,분당구,야탑1동,모두,031-703-7521,"성남시 분당구 성남대로926번길 6, 4층 401호 (대덕프라자)",2021-01-16
257,가족플러스한의원,한의원,분당구,금곡동,모두,031-714-3553,"성남시 분당구 돌마로 43, 6층",2021-01-16
258,가진항,음식점,분당구,구미동,지류,031-719-0902,경기도 성남시 분당구 구미로9번길 8 1동 107호,2021-01-16
259,가천안경렌즈타운,안경점,수정구,복정동,모바일,031-751-9254,"성남시 수정구 성남대로 1342, 지하1층 GB110호(복정동,가천관)",2021-01-16
260,가츠몽,음식점,분당구,정자1동,모두,031-716-7990,"성남시 분당구 성남대로 389, 108(정자동,폴라리스빌딩1층)",2021-01-16
261,가츠몽(돈가스),음식점,분당구,서현1동,모두,031-704-1950,"성남시 분당구 중앙공원로39번길 49 104(서현동,지엔느오피스텔1층)",2021-01-16
262,가츠야,음식점,수정구,복정동,모두,031-000-0000,"성남시 수정구 성남대로1518번길 10, 102(복정동)",2021-01-16
263,가치인 독서논술 & 디베이트 분당 수내점,학원,분당구,수내3동,모두,,경기도 성남시 분당구 돌마로356번길 3 4층 403-A호,2021-01-16
264,가페후후,음식점,수정구,양지동,지류,,경기도 성남시 수정구 산성대로 497 1층,2021-01-16
265,가화,음식점,분당구,서현1동,모두,031-709-9625,성남시 분당구 분당로53번길15 2층209호  210호,2021-01-16
266,가화추어탕,음식점,수정구,태평3동,모두,031-752-0447,성남시 수정구 제일로 176,2021-01-16
267,간식타임,음식점,중원구,금광2동,모두,070-8690-3354,경기도 성남시 중원구 금빛로93번길 4 1층,2021-01-16
268,간이역,음식점,중원구,금광2동,지류,031-745-2356,성남시 중원구 산성대로 408,2021-01-16
269,갈매기쌀상회,기타(도소매),중원구,성남동,모두,031-752-5479,성남시 중원구 둔촌대로69번길 10-15,2021-01-16
270,갈매꽈배기,음식점,중원구,하대원동,모두,031-757-1656,경기도 성남시 중원구 둔촌대로 309 (하대원동),2021-01-16
271,갈비꽃,음식점,수정구,위례동,모두,031-755-5847,"경기도 성남시 수정구 위례광장로 104 2층 2219호,2220호",2021-01-16
272,갈비명가 수원성,음식점,분당구,서현1동,지류,031-702-7766,경기도 성남시 분당구 새마을로1번길 7 (서현동),2021-01-16
273,갈비에빠지다,음식점,수정구,위례동,모두,031-756-9834,"경기도 성남시 수정구 위례광장로 300, 110-111호(창곡동, 위례중앙타워)",2021-01-16
274,갈비정원,음식점,분당구,야탑2동,모두,031-705-9400,성남시 분당구 양현로 246,2021-01-16
275,갈비회관,음식점,중원구,상대원3동,모두,031-747-3310,"성남시 중원구 금상로 24, 1층(상대원동)",2021-01-16
276,갈색머리,미용,수정구,태평1동,모두,031-755-8234,"성남시 수정구 성남대로1249번길 7,(태평동)",2021-01-16
277,갈색장터,기타(도소매),중원구,성남동,모두,031-722-1268,"성남시 중원구 산성대로 지하204-5, 성남중앙지하상가 D동 가열 25호(성남동)",2021-01-16
278,갈채,기타(도소매),분당구,구미1동,지류,031-717-4774,"성남시 분당구 돌마로 80, 101호(구미동)",2021-01-16
279,갈현동마을공동위원회매점,음식점,중원구,도촌동,모두,031-754-9399,"경기도 성남시 중원구 순암로 787, 매점, 식당(갈현동, 영생관리사업소)",2021-01-16
280,감나무골식당,음식점,중원구,은행2동,지류,031-749-6217,경기도 성남시 중원구 순환로461번길 30 지하,2021-01-16
281,감동케어 해피베이비,산후도우미,중원구,상대원3동,지류,031-742-3713,"성남시 중원구 희망로344번길 21, 1층",2021-01-16
282,감미,음식점,중원구,도촌동,모두,031-723-8288,"성남시 중원구 성남대로997번길 25-15, 1층",2021-01-16
283,감미옥,음식점,수정구,태평3동,지류,031-756-1107,성남시 수정구 탄리로 89,2021-01-16
284,감빛사랑,기타(도소매),분당구,수내2동,모두,031-711-0557,"성남시 분당구 내정로174번길 42, 207 (돌고래시장지층)",2021-01-16
285,감성,사진관,분당구,서현1동,모두,031-693-7912,성남시 분당구 새마을로 221(율동),2021-01-16
286,감성부엌,음식점,분당구,운중동,모바일,031-8017-4868,경기도 성남시 분당구 운중로125번길 4-9 감성부엌,2021-01-16
287,감성수학,학원,분당구,수내3동,모두,031-712-0096,경기도 성남시 분당구 불정로 256 4층 401호 일부,2021-01-16
288,감성실용음악학원,학원,중원구,도촌동,모두,031-722-6222,"경기도 성남시 중원구 도촌로8번길 14, 2층 204호(도촌동, 도촌대덕프라자2층)",2021-01-16
289,감성지수,음식점,중원구,상대원1동,모두,070-7543-1158,"경기도 성남시 중원구 사기막골로 124, 111호(상대원동, SKn테크노파크)",2021-01-16
290,감성커피,음식점,분당구,야탑1동,모바일,031-000-0000,경기도 성남시 분당구 야탑로 95 1층 감성커피,2021-01-16
291,감성커피 위례레트로점,음식점,수정구,위례동,모두,031-722-1969,경기도 성남시 수정구 위례광장로 328 우성위례타워 104호,2021-01-16
292,감성커피 판교우림w시티점,카페,분당구,삼평동,지류,031-628-8122,경기도 성남시 분당구 판교로255번길 9-22 145호,2021-01-16
293,감술선생 서현점,음식점,분당구,서현1동,지류,031-703-1819,경기도 성남시 분당구 황새울로360번길 24 대명코아 501호,2021-01-16
294,감잡았탕,음식점,수정구,태평2동,지류,031-601-2601,"경기도 성남시 수정구 탄리로74번길 11, 1층 (태평동)",2021-01-16
